Symbol,Sector
CEG,Utilities
USB,Financials
GD,Industrials
KKR,Financials
TT,Industrials
PNC,Financials
DASH,Consumer Discretionary
INTU,Information Technology
DUK,Utilities
CMCSA,Communication Services
PWR,Industrials
WMB,Energy
ICE,Financials
CSX,Industrials
MRSH,Financials
ELV,Health Care
HCA,Health Care
WM,Industrials
MAR,Consumer Discretionary
UPS,Industrials
REGN,Health Care
MCO,Financials
MMM,Industrials
MNST,Consumer Staples
SLB,Energy
JCI,Industrials
CDNS,Information Technology
EMR,Industrials
AMT,Real Estate
SHW,Materials
CTAS,Industrials
SNPS,Information Technology
MSI,Information Technology
APO,Financials
ECL,Materials
TRV,Financials
MDLZ,Consumer Staples
EOG,Energy
ITW,Industrials
DDOG,Information Technology
GM,Consumer Discretionary
LITE,Information Technology
FDX,Industrials
CMI,Industrials
CI,Health Care
NOC,Industrials
TGT,Consumer Staples
NSC,Industrials
ROST,Consumer Discretionary
CL,Consumer Staples
KMI,Energy
WBD,Communication Services
ORLY,Consumer Discretionary
RCL,Consumer Discretionary
HLT,Consumer Discretionary
AON,Financials
DLR,Real Estate
RSG,Industrials
AJG,Financials
BSX,Health Care
SPG,Real Estate
AEP,Utilities
APD,Materials
ALL,Financials
HPE,Information Technology
HON,Industrials
PCAR,Industrials
COR,Health Care
BKR,Energy
TDG,Industrials
TRGP,Energy
TFC,Financials
MET,Financials
URI,Industrials
GWW,Industrials
CRH,Materials
OKE,Energy
OXY,Energy
NUE,Materials
TEL,Information Technology
MPWR,Information Technology
AFL,Financials
CTVA,Materials
D,Utilities
O,Real Estate
CAH,Health Care
MRNA,Health Care
F,Consumer Discretionary
NKE,Consumer Discretionary
NXPI,Information Technology
FANG,Energy
FAST,Industrials
FIX,Industrials
PSA,Real Estate
SRE,Utilities
KEYS,Information Technology
NDAQ,Financials
DVN,Energy
AME,Industrials
CVNA,Consumer Discretionary
GRMN,Consumer Discretionary
STT,Financials
TER,Information Technology
COHR,Information Technology
EW,Health Care
DAL,Industrials
COIN,Financials
BDX,Health Care
ADSK,Information Technology
ETR,Utilities
WDAY,Information Technology
VMRK,Real Estate
FITB,Financials
XYZ,Financials
AMP,Financials
HUM,Health Care
HONA,Industrials
CARR,Industrials
LHX,Industrials
AZO,Consumer Discretionary
VST,Utilities
PYPL,Financials
CMG,Consumer Discretionary
XEL,Utilities
ROK,Industrials
VTR,Real Estate
EBAY,Consumer Discretionary
WAB,Industrials
EXC,Utilities
VEEV,Health Care
CIEN,Information Technology
KDP,Consumer Staples
PAYX,Industrials
IQV,Health Care
AXON,Industrials
FERG,Industrials
CBRE,Real Estate
PRU,Financials
A,Health Care
IBKR,Financials
IDXX,Health Care
ROP,Information Technology
MSCI,Financials
YUM,Consumer Discretionary
LYV,Communication Services
TTWO,Communication Services
ADM,Consumer Staples
AIG,Financials
WAT,Health Care
DHI,Consumer Discretionary
ED,Utilities
FLEX,Information Technology
MCHP,Information Technology
SYY,Consumer Staples
ODFL,Industrials
HIG,Financials
PEG,Utilities
EXPE,Consumer Discretionary
KVUE,Consumer Staples
MLM,Materials
KMB,Consumer Staples
EL,Consumer Staples
KR,Consumer Staples
NTAP,Information Technology
STLD,Materials
UAL,Industrials
EQT,Energy
HSY,Consumer Staples
WEC,Utilities
RJF,Financials
MTB,Financials
HBAN,Financials
ACGL,Financials
NTRS,Financials
IRM,Real Estate
VMC,Materials
DXCM,Health Care
CNC,Health Care
RMD,Health Care
BIIB,Health Care
EME,Industrials
CCI,Real Estate
CCL,Consumer Discretionary
ARES,Financials
JBL,Information Technology
WTW,Financials
ZTS,Health Care
GEHC,Health Care
HAL,Energy
CBOE,Financials
CPRT,Industrials
PCG,Utilities
RDDT,Communication Services
KHC,Consumer Staples
CFG,Financials
EXR,Real Estate
AEE,Utilities
CTSH,Information Technology
IR,Industrials
HPQ,Information Technology
DG,Consumer Staples
LVS,Consumer Discretionary
ON,Information Technology
ATO,Utilities
DTE,Utilities
CASY,Consumer Staples
VICI,Real Estate
TDY,Information Technology
AWK,Utilities
FISV,Financials
CPAY,Financials
FE,Utilities
OTIS,Industrials
MTD,Health Care
LH,Health Care
ES,Utilities
CINF,Financials
DGX,Health Care
PPL,Utilities
CNP,Utilities
VRSN,Information Technology
WSM,Consumer Discretionary
INCY,Health Care
SYF,Financials
ECHO,Communication Services
RF,Financials
WRB,Financials
DOV,Industrials
PFG,Financials
TPL,Energy
XYL,Industrials
DRI,Consumer Discretionary
JBHT,Industrials
SMCI,Information Technology
PPG,Materials
VRSK,Industrials
Q,Information Technology
DLTR,Consumer Staples
GPN,Financials
TPR,Consumer Discretionary
BRO,Financials
EXPD,Industrials
HUBB,Industrials
FICO,Information Technology
WST,Health Care
VLTO,Industrials
SW,Materials
ULTA,Consumer Discretionary
PHM,Consumer Discretionary
KEY,Financials
NRG,Utilities
TROW,Financials
CHD,Consumer Staples
EXE,Energy
BG,Consumer Staples
OMC,Communication Services
L,Financials
STE,Health Care
IFF,Materials
DOW,Materials
FSLR,Information Technology
EFX,Industrials
FFIV,Information Technology
STZ,Consumer Staples
EIX,Utilities
FIS,Financials
CMS,Utilities
AMCR,Materials
LYB,Materials
CF,Materials
PKG,Materials
GIS,Consumer Staples
LEN,Consumer Discretionary
SBAC,Real Estate
BR,Industrials
RL,Consumer Discretionary
NI,Utilities
SNA,Industrials
CDW,Information Technology
VTRS,Health Care
IP,Materials
FDXF,Industrials
EVRG,Utilities
ZBH,Health Care
LUV,Industrials
GPC,Consumer Discretionary
GEN,Information Technology
BBY,Consumer Discretionary
TSN,Consumer Staples
TSCO,Consumer Discretionary
CHTR,Communication Services
ESS,Real Estate
LNT,Utilities
DD,Industrials
NDSN,Industrials
FTV,Industrials
J,Industrials
CHRW,Industrials
ROL,Industrials
INVH,Real Estate
NVR,Consumer Discretionary
BEN,Financials
ZBRA,Information Technology
BALL,Materials
WY,Real Estate
LDOS,Industrials
IEX,Industrials
PTC,Information Technology
KIM,Real Estate
ALB,Materials
SOLV,Health Care
APA,Energy
TYL,Information Technology
HST,Real Estate
AKAM,Information Technology
MAA,Real Estate
EG,Financials
SWK,Industrials
DOC,Real Estate
RVTY,Health Care
IVZ,Financials
AIZ,Financials
MKC,Consumer Staples
MAS,Industrials
TRMB,Information Technology
REG,Real Estate
CRL,Health Care
TKO,Communication Services
SJM,Consumer Staples
COO,Health Care
LULU,Consumer Discretionary
TXT,Industrials
GL,Financials
ERIE,Financials
FOXA,Communication Services
LII,Industrials
FOX,Communication Services
ALLE,Industrials
AVY,Materials
BAX,Health Care
HAS,Consumer Discretionary
CSGP,Real Estate
GDDY,Information Technology
BF-B,Consumer Staples
CPT,Real Estate
IT,Information Technology
PSKY,Communication Services
HRL,Consumer Staples
PNW,Utilities
JKHY,Financials
UDR,Real Estate
DVA,Health Care
DECK,Consumer Discretionary
HII,Industrials
DPZ,Consumer Discretionary
CLX,Consumer Staples
TECH,Health Care
ALGN,Health Care
FDS,Financials
NWSA,Communication Services
SWKS,Information Technology
BXP,Real Estate
GNRC,Industrials
AES,Utilities
MGM,Consumer Discretionary
PODD,Health Care
FRT,Real Estate
HSIC,Health Care
UHS,Health Care
APTV,Consumer Discretionary
PNR,Industrials
WYNN,Consumer Discretionary
ARE,Real Estate
AOS,Industrials
MOS,Materials
TAP,Consumer Staples
NCLH,Consumer Discretionary
TTD,Communication Services
BLDR,Industrials
NWS,Communication Services
