FREQ,REF_AREA,COVERED_AREA,RE_TYPE,RE_VINTAGE,COMPILING_ORG,PRICED_UNIT,ADJUST_CODED,AVAILABILITY,BREAKS,COLLECTION_DETAIL,COVERAGE,DATA_COMP,DECIMALS,DOC_METHOD,MEASURE_DETAIL,META_UPDATE,PUBLICATIONS,TITLE_GRP,TITLE_GRP_COMPL,TITLE_GRP_NAT,UNIT_MEASURE,UNIT_MULT,COLLECTION,TIME_FORMAT,TIME_PERIOD,OBS_VALUE,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-01,5521,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-02,5974,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-03,6038,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-04,6082,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-05,6146,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-06,6276,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-07,6362,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-08,6371,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-09,6448,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-10,6577,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-11,6954,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2004-12,6587,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-01,6674,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-02,6835,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-03,6813,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-04,6803,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-05,6856,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-06,6932,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-07,6964,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-08,6985,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-09,7019,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-10,7050,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-11,7040,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2005-12,7051,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-01,7620,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-02,7740,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-03,7557,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-04,7566,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-05,8008,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-06,7868,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-07,8493,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-08,8353,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-09,8708,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-10,8310,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-11,8632,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2006-12,8492,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-01,9257,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-02,9224,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-03,9376,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-04,9558,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-05,9774,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-06,10010,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-07,10355,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-08,10699,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-09,10969,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-10,11366,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-11,11712,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2007-12,12099,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-01,12507,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-02,12830,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-03,13165,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-04,13466,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-05,13789,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-06,14004,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-07,14209,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-08,14208,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-09,13746,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-10,13250,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-11,12874,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2008-12,12411,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-01,11958,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-02,11615,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-03,11334,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-04,11066,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-05,10829,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-06,10666,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-07,10516,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-08,10419,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-09,10387,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-10,10345,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-11,10301,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2009-12,10247,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-01,9935,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-02,9796,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-03,9655,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-04,9612,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-05,9407,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-06,9364,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-07,9225,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-08,9149,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-09,9096,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-10,9021,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-11,8944,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2010-12,8892,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2011-01,8934,F,,A
M,AE,4,1,0,2,1,0,A,,Moving average of the corresponding month and the previous month.,New and existing apartments and villas.,Based on offer and transaction prices.,4,,Price per square meter,13/06/2024,REIDIN,"United Arab Emirates - Residential property prices, all dwellings, Dubai",,,AED,0,V,,2011-02,8967,F,,A
